ID;ufinca;derechos;plano_cat;area_pl;area_re;provincia;canton;distrito
81;2-00146780;1;no se indica;;128.74;alajuela ;orotina;hacienda vieja
9;2-00245936;1;A-0006729-1974;39005.57;10.786.15;alajuela;alajuela;guacima
2;1-00297013;1;SJ-0351011-1979;32.690.66;30.065.66;san jose;santa ana;pozos
79;2-00533451;1;A-1814368-2015;126941;126941;alajuela;alajuela;turrucares
78;2-00194160;1;NO SE INDICA;;71320.27;alajuela;alajuela;san rafael
10;2-00119874;3;A-0296054-1978;111973.05;96.148.52;alajuela;alajuela;turrucares
11;2-00127074;1;A-0752507-2001;20966.3;20.966.30;alajuela;alajuela;guacima
12;2-00528217;2;A-0813502-2002;948.35;909.35;alajuela;alajuela;guacima
13;2-00524949;6;A-0819097-2002;948.17;888.17;alajuela;alajuela;guacima
27;2-00449286;1;A-0502148-1998;688;688;alajuela;orotina;coyolar
82;2-00374962;1;A-0598749-1999;480.44;480.44;alajuela ;orotina ;orotina 
83;2-00357278;1;A-0576028-1999;484.6;484.6;alajuela ;orotina ;orotina 
84;2-00357279;1;A-0576030-1999;696.48;696.48;alajuela ;orotina ;orotina 
85;2-00261269;3;A-0739181-1988;328.157.29;314.006.32;alajuela ;orotina;orotina 
86;2-00247227;1;A-1675164-2013;125.518.00;125.518.00;alajuela ;orotina;orotina 
87;2-00284415;1;A-0922119-2004;61.737.90;71.737.90;alajuela ;orotina;el mastate
88;2-00393528;1;A-0335391-1996;3.553.88;1.504.87;alajuela ;orotina;coyolar
89;2-00555445;1;A-1917706-2016;195;195;alajuela ;orotina;coyolar
90;2-00418114;4;A-0921635-2004;813.92;813.92;alajuela ;orotina;coyolar
91;2-00341123;1;A-0337377-1996;1.360.49;1.360.49;alajuela ;orotina;coyolar
92;2-00341122 ;2;A-0113099-1993;685.09;685.09;alajuela ;orotina;coyolar
93;2-00380979;2;A-0789774-2002;104.190.81;104.190.81;alajuela ;orotina;coyolar
94;2-00284678;2;A-1659753-2013;97.872.00;95.543.00;alajuela ;orotina;la ceiba
80;1-00234647-A;1;NO SE INDICA;;5694.24;san jose;santa ana;brasil
50;2-00449912;2;A-1485463-2011;179.264.00;178.923.00;alajuela;orotina;hacienda vieja
22;2-00080285;9;NO SE INDICA;;652.662.75;alajuela;orotina;hacienda vieja
35;2-00035838;5;NO SE INDICA;;412.933.58;alajuela;atenas;escobal
37;2-00090926;1;NO SE INDICA;;29.032.78;alajuela;atenas;concepcion
51;2-00155453;1;NO SE INDICA;;1.687.806.40;alajuela;orotina;orotina 
3;1-00697801;1;SJ-2057663-2018;4037;1.423.00;san jose;santa ana;pozos
4;1-00306901;2;SJ-2242391-2020;5418;5.418.00;san jose;santa ana;pozos
5;2-00043221;1;A-0752506-2001;6284.88;5.921.88;alajuela;alajuela;guacima
95;2-00309073;2;A-0303176-1996;1.740.96;1.740.96;alajuela ;orotina;la ceiba
6;2-00448864;1;A-0937626-2004;2927.23;2.877.23;alajuela;alajuela;guacima
96;2-00448467;1;A-0667022-2000;1.510.49;1.510.49;alajuela ;orotina;la ceiba
7;2-00519996;1;A-2264600-2021;857;857;alajuela;alajuela;guacima
8;2-00129658;1;NO SE INDICA;;1.206.614.96;alajuela;atenas;escobal
97;2-00450486;1;A-0636593-2000;3.304.54;3.304.54;alajuela ;orotina;la ceiba
68;1-00004212-M;1;NO SE INDICA;4.637.00;6484.87;san jose;santa ana;brasil
15;2-00156851;1;A-1821462-2015;13.950.00;13.485.00;alajuela;alajuela;guacima
16;2-00420477;4;A-1062216-2006;27.557.88;27.557.88;alajuela;alajuela;guacima
17;2-00250073;3;A-0857644-1990;22.422.32;18.369.34;alajuela;alajuela;guacima
18;2-00498577;1;A-0028691-2023;959;959;alajuela;alajuela;guacima
33;2-00096824;224;NO SE INDICA;;38.127.15;alajuela;alajuela;guacima
98;2-00464653;1;A-0415146-1997;1.043.46;1.043.46;alajuela ;orotina;la ceiba
99;2-00450725;1;A-0955529-2004;1.122.52;1.122.52;alajuela ;orotina;la ceiba
100;2-00452506;1;A-1322947-2009;1.147.62;1.147.62;alajuela ;orotina;la ceiba
101;2-00499129;2;A-1121626-2006;1.229.08;1.229.08;alajuela ;orotina;la ceiba
102;2-00283196;1;A-1217014-2008;32.884.22;32.884.22;alajuela ;orotina;la ceiba
103;2-00256291;1;A-1506785-2011;217.455.00;181.180.00;alajuela ;orotina;la ceiba
104;2-00543895;1;A-1837095-2015;36.275.00;36.275.00;alajuela ;orotina;la ceiba
105;2-00379613;1;A-0782569-2002;138.172.92;138.172.92;alajuela ;orotina;la ceiba
106;6-00085765;2;A-0142611-1993;36.172.78;36.172.78;puntarenas;esparza;san juan grande
107;2-00401339;1;A-0667022-2000;1.510.49;1.510.49;alajuela ;orotina ;la ceiba
108;2-00570233;1;A-01972563-2017;5.826.00;5.826.00;alajuela;atenas;escobal
109;2-00284414;3;A-0144143-1993;75.700.87;75.700.87;alajuela ;orotina ;el mastate
110;2-00284421;1;A-1696320-2013;100.440.00;100.440.00;alajuela ;orotina;la ceiba
43;2-00217937;1;A-0658467-1986;238.07;238.07;san jose;santa ana;brasil
39;1-00542465;1;SJ-0879711-2003;12.277.74;12.277.74;san jose;ESCAZU;san rafael 
42;1-00005250-M;1;SJ-1628548-2012;26.344.00;26.344.00;san jose;ESCAZU;san rafael 
19;2-00272911;2;A-0001391-1969;106.117.53;58.941.70;alajuela;alajuela;guacima
20;2-00305638;5;A-1949291-2017;11.232.00;11.232.00;alajuela;alajuela;guacima
45;2-00151057;1;A-2318897-2021;47.677.00;47.677.00;alajuela;atenas;concepcion
14;2-00014826;2;NO SE INDICA;;304.019.76;alajuela;alajuela;guacima
64;1-00074453;1;NO SE INDICA;;37.939.99;san jose;santa ana;brasil
66;1-00311497;1;NO SE INDICA;;14.223.81;san jose;santa ana;brasil
72;2-00103600;4;NO SE INDICA;;150.070.90;alajuela;atenas;escobal
76;1-00419969;6;NO SE INDICA;;30.623.79;san jose;santa ana;brasil
23;2-00494506;1;A-1839566-2015;688;688;alajuela;orotina;coyolar
24;2-00253834;1;A-0864898-1989;1.536.87;1.100.35;alajuela;orotina;coyolar
25;2-00212957;1;A-1290950-2008;43.772.33;42.949.23;alajuela;atenas;escobal
26;2-00284397;3;A-0146395-1993;1.080.95;1.080.95;alajuela;orotina;coyolar
65;1-00074451-A;1;SJ-1692620-2013;24.776.00;24.776.00;san jose;santa ana;brasil
67;1-00073903;6;SJ-1785899-2014;33.672.00;33.672.00;san jose;santa ana;brasil
28;2-00498324;1;A-1596153-2012;200;200;alajuela;orotina;coyolar
29;2-00536595;1;A-2243972-2020;232;232;alajuela;orotina;coyolar
30;2-00285307;2;A-0144142-1993;6.501.44;4.804.44;alajuela;orotina;coyolar
31;2-00420488;1;A-0908750-2004;241.52;241.52;alajuela;atenas;JESUS
32;2-00284398;1;A-0144476-1993;1.265.25;577.25;alajuela;orotina;coyolar
34;2-00181977;1;A-0029061-2023;182.618.00;182.618.00;alajuela;atenas;escobal
69;1-00505269;1;SJ-0405215-1997;1.270.39;1.270.39;san jose;santa ana;brasil
70;2-00486387;3;A-1467512-2010;14.287.00;14.287.00;alajuela;alajuela;guacima
71;2-00499779;1;A-1615501-2012;660.860.00;658.330.00;alajuela;alajuela;turrucares
73;2-00329205;1;A-0455826-1997;9.398.33;8.083.33;alajuela;atenas;JESUS
36;2-00266346;1;A-1814370-2015;356.393.00;356.393.00;alajuela;alajuela;turrucares
38;1-00555111;1;SJ-1653278-2013;5.472.00;5.454.00;san jose;ESCAZU;san rafael 
40;1-00545083;1;SJ-0905880-2004;6.796.52;6.622.52;san jose;ESCAZU;san rafael 
41;1-00277472;1;SJ-1793130-2015;3.032.00;2.801.00;san jose;ESCAZU;san rafael 
46;2-00345576;2;A-0887336-2003;1.346.76;1.233.76;alajuela;atenas;concepcion
47;2-00267696;2;A-0957434-1991;11.996.64;10.051.74;alajuela;atenas;concepcion
48;2-00035364;1;A-0004954-1975;956.261.11;857.085.14;alajuela;atenas;JESUS
49;2-00178702;9;A-1101488-2006;242.980.06;241.723.06;alajuela;atenas;escobal
52;2-00020309;3;A-0487705-1982;146.591.78;17.930.93;alajuela;orotina;orotina 
53;2-00356664;1;A-0049202-1992;14.150.97;13.402.97;alajuela;orotina;orotina 
54;2-00514539;1;A-1701652-2013;370.271.00;370.271.00;alajuela;atenas;escobal
55;2-00167748;1;A-1759754-2014;136.430.00;133.818.00;alajuela;atenas;escobal
56;1-00548155;1;SJ-0930007-2004;4.987.53;4.792.52;san jose;ESCAZU;san rafael 
57;2-00533751;1;A-2201342-2020;19.845.00;17.937.00;alajuela;atenas;concepcion
58;6-00174771;1;P-1141624-2007;381.086.83;381.086.83;puntarenas;esparza;CALDERA
59;6-00149011;1;P-1019012-2005;68.651.55;68.651.55;puntarenas;esparza;CALDERA
60;6-00096725;1;P-0153082-1993;24.339.67;21.179.67;puntarenas;esparza;CALDERA
61;1-00092800;1;SJ-1397858-2010;45.605.00;45.605.00;san jose;santa ana;pozos
62;1-00722591;1;SJ-2267293-2021;28.657.00;28.657.00;san jose;santa ana;brasil
63;1-00662255;6;SJ-1801239-2015;69.637.00;69.637.00;san jose;santa ana;brasil
74;2-00333705;1;A-0455844-1997;7.554.32;7.392.32;alajuela;atenas;JESUS
75;1-00547774;1;SJ-2281053-2021;977;977;san jose;santa ana;pozos
77;2-00520295;1;A-1755320-2014;993.105.00;983.489.00;alajuela;atenas y orotina;jesus y hacienda vieja
