PUNTO DE VERIFICACION;EXPEDIENTE ;PLANO;ESTACIONAMIENTO;MARGEN(1-2);Condición;Ubicación;Latitud;;Longitud;;
;N/A;--;0+000;I;No se requiere expropiación;SABANA;9.932422222;84.09827778;-84.09827778;"  9°55'56.72""N";" 84° 5'53.80""O"
30;N/A;--;1+180;I;No se requiere expropiación;SABANA;9.933363889;84.10904444;-84.10904444;"  9°56'0.11""N";" 84° 6'32.56""O"
31;N/A;--;1+230;I;No se requiere expropiación;SABANA;9.933411111;84.10950278;-84.10950278;"  9°56'0.28""N";" 84° 6'34.21""O"
32;N/A;--;1+260;I;No se requiere expropiación;SABANA;9.933530556;84.110025;-84.110025;"  9°56'0.71""N";" 84° 6'36.09""O"
;N/A;--;1+634;I;No se requiere expropiación;SABANA;9.935138889;84.11270278;-84.11270278;"  9°56'6.50""N";" 84° 6'45.73""O"
;N/A;--;2+100;D;Valorar Afectación;IC-CIRCUNVALACIÓN;9.936825;84.11613889;-84.11613889;"  9°56'12.57""N";" 84° 6'58.10""O"
;24593;A-0095488-1993;22+440;D;Expropiación Concluida;RADIAL EL COYOL;9.965497222;84.27988611;-84.27988611;"  9°57'55.79""N";" 84°16'47.59""O"
;24722;A-103387-1993;24+660;D;Expropiación Concluida;PASO INFERIOR CAR;9.965888889;84.29947222;-84.29947222;"  9°57'57.20""N";" 84°17'58.10""O"
;24728; A-0245829-1995;;;;;9.965888889;84.29947222;-84.29947222;;
;--;A-1699083-2013;25+120;I;Expropiación Concluida;ZONA DE PESAJE;9.965261111;84.30366111;-84.30366111;"  9°57'54.94""N";" 84°18'13.18""O"
;--;A-1336913-2009;;;;;9.965261111;84.30366111;-84.30366111;;
29;24885;A-298672-2000;29+700;I;Valorar Afectación;ENTRADA PUENTE RIO GRANDE;9.964133333;84.34406944;-84.34406944;"  9°57'50.88""N";" 84°20'38.65""O"
;25423;A-0965399-1991;30+500;I;Valorar Afectación;SALIDA PUENTE RIO GRANDE;9.963169444;84.35066111;-84.35066111;"  9°57'47.41""N";" 84°21'2.38""O"
;27227;A-0755316-2001;;I;;;9.963169444;84.35066111;-84.35066111;;
;--;A-0847928-2003;;I;;;9.963169444;84.35066111;-84.35066111;;
;24968;A-0977141-1991;34+720;I;Expropiación Concluida;RADIAL BALSA;9.942858333;84.37770556;-84.37770556;"  9°56'34.29""N";" 84°22'39.74""O"
;2020-11;A-2212209-2020;35+600;I;Expropiación Concluida;BALSA;9.941216667;84.38555278;-84.38555278;"  9°56'28.38""N";" 84°23'7.99""O"
;2020-11;A-2212210-2020;35+800;I;Expropiación Concluida;BALSA;9.941086111;84.38765306;-84.38765306;"  9°56'27.91""N";" 84°23'15.51""O"
;24883;A-1005844-2005;36+220;I;No concluido // hay que regularizarlo;INDER BALSA;9.938333333;84.39603611;-84.39603611;"  9°56'22.83""N";" 84°23'38.08""O"
;---;A-957433-1991;36+700;I;Expropiación Concluida;INDER BALSA;9.938377778;84.39603611;-84.39603611;"  9°56'18.16""N";" 84°23'45.73""O"
1;26005;A-0721911-2001;37+700;I;Expropiación Concluida;ROLANDO ROJAS Y COMPAÑÍA;9.937686111;84.40103611;-84.40103611;"  9°56'15.67""N";" 84°24'3.73""O"
;2012-12;A-1589019-2012;38+000;I;Expropiación Concluida;ROLANDO ROJAS Y COMPAÑÍA;9.9371;84.40230556;-84.40230556;"  9°56'13.56""N";" 84°24'8.30""O"
;27208;A-0763638-2002;;D;Expropiación Concluida;LA PERFECTA;9.937119444;84.40328333;-84.40328333;"  9°56'13.63""N";" 84°24'11.82""O"
2;27 208;A-0763638-2002;38+100;;;;9.937119444;84.40328333;-84.40328333;"  9°56'13.63""N";" 84°24'11.82""O"
3;27 208;A-0763638-2002;38+200;;;;9.936861111;84.40411667;-84.40411667;"  9°56'12.70""N";" 84°24'14.82""O"
4;27 208;A-0763638-2002;38+350;;;;9.936861111;84.40411667;-84.40411667;"  9°56'12.70""N";" 84°24'14.82""O"
5;27 208;A-0763638-2002;38+500;;;;9.937261111;84.40592222;-84.40592222;"  9°56'14.14""N";" 84°24'21.32""O"
;2021-02;A-2267814-2012;38+600;D;Expropiación Concluida;CUATRO CHICAS DEL ZURQUÍ;9.935983333;84.40723333;-84.40723333;"  9°56'9.54""N";" 84°24'26.04""O"
;2019-17;A-21368623-2019;38+700;D;Expropiación Concluida;;9.936252778;84.40894444;-84.40894444;"  9°56'10.51""N";" 84°24'32.20""O"
14;---;---;38+800/LC-38+940;D;Valorar Afectación;;9.937227778;84.41225278;-84.41225278;"  9°56'14.02""N";" 84°24'44.11""O"
15;---;---;39+100;D;Valorar Afectación;;9.936919444;84.41305556;-84.41305556;"  9°56'12.91""N";" 84°24'47.00""O"
16;---;---;39+150;D;Valorar Afectación;;9.936352778;84.41363056;-84.41363056;"  9°56'10.87""N";" 84°24'49.07""O"
17;---;---;39+200;D;Valorar Afectación;;9.936352778;84.41363056;-84.41363056;"  9°56'10.87""N";" 84°24'49.07""O"
18;---;---;41+000;D;Valorar Afectación;QUEBRADA LAPAS;9.935697222;84.42620278;-84.42620278;"  9°56'8.51""N";" 84°25'34.33""O"
6;25 089;A-0369319-1996;43+600/LC-43+740;D;Valorar Afectación;QUEBRADAS;9.92825;84.44651667;-84.44651667;" 9°55'41.70""N";" 84°26'47.46""O"
;26087;A-0703940-1987;43+650;D;Valorar Afectación;QUEBRADAS;9.928352778;84.44686111;-84.44686111;"  9°55'42.07""N";" 84°26'48.70""O"
;25069;A-0357101-1991;43+700;D;Valorar Afectación;QUEBRADAS;9.928469444;84.44731944;-84.44731944;"  9°55'42.49""N";" 84°26'50.35""O"
;26043;A-0703941-1987;43+750;D;Valorar Afectación;QUEBRADAS;9.928583333;84.44770278;-84.44770278;"  9°55'42.90""N";" 84°26'51.73""O"
;25071;A-0363096-1996;43+800;I;Valorar Afectación;QUEBRADAS;9.928658333;84.44906389;-84.44906389;"  9°55'43.17""N";" 84°26'53.63""O"
;---;---;43+850;D;Valorar Afectación-No Iniciado;QUEBRADAS;9.928763889;84.44869444;-84.44869444;"  9°55'43.55""N";" 84°26'55.30""O"
7;---;---;44+500/LC-44+253;D;Valorar Afectación;VIADUCTO;9.928669444;4.454455556;-4.454455556;"  9°55'49.78""N";" 84°27'16.04""O"
8;---;---;44+600/LC-44+585;D;Valorar Afectación;VIADUCTO;9.928669444;84.45583333;-84.45583333;"  9°55'43.21""N";" 84°27'21.00""O"
9;NO SE INDICA;A-2202995-2020;45+800;D;Valorar Afectación-No Iniciado;RIO CONCEPCIÓN;9.924938889;84.46593889;-84.46593889;"  9°55'36.54""N";" 84°27'57.38""O"
10;NO SE INDICA;A-2203578-2020;45+850;D;Valorar Afectación-No Iniciado;RIO CONCEPCIÓN;9.924938889;84.46611389;-84.46611389;"  9°55'29.78""N";" 84°27'58.01""O"
11;NO SE INDICA;A-2203578-2020;45+850;D;Valorar Afectación-No Iniciado;RIO CONCEPCIÓN;9.924152778;84.46738611;-84.46738611;"  9°55'26.95""N";" 84°28'2.59""O"
12;NO SE INDICA;A-2202996-2020;45+950;D;Valorar Afectación-No Iniciado;RIO CONCEPCIÓN;9.920861111;84.46827778;-84.46827778;"  9°55'15.10""N";" 84°28'5.80""O"
13;2020-22;A-2202997-2020;46+050;D;Expropiación Concluida;HACIENDA IMPERIO REAL;9.920861111;84.46827778;-84.46827778;"  9°55'15.10""N";" 84°28'5.80""O"
19;24 980;A-0273656-1995;46+300;D;Expropiación Concluida;LOS SALITRALES;9.921861111;84.471375;-84.471375;"  9°55'18.70""N";" 84°28'16.95""O"
20;;;46+550;D;Expropiación Concluida;LOS SALITRALES;9.921313889;84.47298611;-84.47298611;"  9°55'16.73""N";" 84°28'22.75""O"
21.22.23;;;47+400;D;Expropiación Concluida;LOS SALITRALES;9.920127778;84.47528333;-84.47528333;"  9°55'12.46""N";" 84°28'31.02""O"
24.25.26;;;47+600;D;Expropiación Concluida;LOS SALITRALES;9.920113889;84.47604167;-84.47604167;"  9°55'12.41""N";" 84°28'33.75""O"
27;---;---;---;D;Valorar Afectación;LOS SALITRALES;9.919513889;84.47706944;-84.47706944;"  9°55'10.25""N";" 84°28'37.45""O"
28;---;---;---;D;Valorar Afectación;LOS SALITRALES;9.919513889;84.47706944;-84.47706944;"  9°55'10.25""N";" 84°28'37.45""O"
;23600;P-0364609-1996;76+380;D;Valorar Afectación;IC-CALDERA;9.917091667;84.71176944;-84.71176944;"  9°55'1.53""N";" 84°42'42.37""O"
